texte1;texte2
L’enfant mange une pomme.;L’enfant a faim.
Le chat dort sur le canapé.;L’animal se repose sur le sofa.
Ils voyagent en train.;Ils prennent le train.
Marie a acheté une voiture.;Marie n’a rien acheté.
Jean lit un livre.;Jean regarde un film.
La porte est ouverte.;La porte est fermée.
Marie a acheté une voiture.;Marie n’a rien acheté.
Ils voyagent en train.;Ils prennent le train.
Le téléphone sonne.;Personne n'appelle.
Le ciel est bleu.;Le ciel est clair.
Le bébé dort paisiblement.;Le bébé pleure.
La porte est ouverte.;La porte est fermée.
L’enfant mange une pomme.;L’enfant a faim.
L’étudiant révise pour l’examen.;L’étudiant ne se prépare pas.
Elle travaille dans une banque.;Elle est employée dans le secteur financier.
Il pleut dehors.;Le soleil brille.
La neige tombe en hiver.;Il fait chaud en hiver.
Paul joue au foot.;Paul pratique un sport.
Le repas est servi.;Ils attendent encore leur plat.
Le feu est rouge.;Les voitures s’arrêtent.
La voiture est rouge.;Le véhicule a une couleur vive.
Le chien aboie fort.;Le chien est silencieux.
Le bébé dort paisiblement.;Le bébé pleure.
Le feu est rouge.;Les voitures s’arrêtent.
L’étudiant révise pour l’examen.;L’étudiant ne se prépare pas.
L’enfant mange une pomme.;L’enfant a faim.
La neige tombe en hiver.;Il fait chaud en hiver.
La neige tombe en hiver.;Il fait chaud en hiver.
Le repas est servi.;Ils attendent encore leur plat.
Le feu est rouge.;Les voitures s’arrêtent.
L’enfant mange une pomme.;L’enfant a faim.
Elle travaille dans une banque.;Elle est employée dans le secteur financier.
La voiture est rouge.;Le véhicule a une couleur vive.
Le repas est servi.;Ils attendent encore leur plat.
La voiture est rouge.;Le véhicule a une couleur vive.
La neige tombe en hiver.;Il fait chaud en hiver.
Le feu est rouge.;Les voitures s’arrêtent.
La voiture est rouge.;Le véhicule a une couleur vive.
Elle travaille dans une banque.;Elle est employée dans le secteur financier.
Le feu est rouge.;Les voitures s’arrêtent.
Les oiseaux chantent le matin.;Le matin est silencieux.
Il pleut dehors.;Le soleil brille.
La neige tombe en hiver.;Il fait chaud en hiver.
Il pleut dehors.;Le soleil brille.
La voiture est rouge.;Le véhicule a une couleur vive.
Le repas est servi.;Ils attendent encore leur plat.
L’enfant mange une pomme.;L’enfant a faim.
L’étudiant révise pour l’examen.;L’étudiant ne se prépare pas.
Le ciel est bleu.;Le ciel est clair.
Le feu est rouge.;Les voitures s’arrêtent.
Le ciel est bleu.;Le ciel est clair.
La neige tombe en hiver.;Il fait chaud en hiver.
La neige tombe en hiver.;Il fait chaud en hiver.
La porte est ouverte.;La porte est fermée.
Le ciel est bleu.;Le ciel est clair.
La neige tombe en hiver.;Il fait chaud en hiver.
Elle travaille dans une banque.;Elle est employée dans le secteur financier.
La voiture est rouge.;Le véhicule a une couleur vive.
Le ciel est bleu.;Le ciel est clair.
Le chat dort sur le canapé.;L’animal se repose sur le sofa.
Le ciel est bleu.;Le ciel est clair.
Le téléphone sonne.;Personne n'appelle.
La voiture est rouge.;Le véhicule a une couleur vive.
La porte est ouverte.;La porte est fermée.
Le feu est rouge.;Les voitures s’arrêtent.
La neige tombe en hiver.;Il fait chaud en hiver.
Jean lit un livre.;Jean regarde un film.
Paul joue au foot.;Paul pratique un sport.
Le repas est servi.;Ils attendent encore leur plat.
Les oiseaux chantent le matin.;Le matin est silencieux.
Les fleurs sont fanées.;Les fleurs sont fraîches.
Le téléphone sonne.;Personne n'appelle.
La voiture est rouge.;Le véhicule a une couleur vive.
Le feu est rouge.;Les voitures s’arrêtent.
L’enfant mange une pomme.;L’enfant a faim.
Les oiseaux chantent le matin.;Le matin est silencieux.
La voiture est rouge.;Le véhicule a une couleur vive.
Le ciel est bleu.;Le ciel est clair.
Ils voyagent en train.;Ils prennent le train.
L’enfant mange une pomme.;L’enfant a faim.
Le téléphone sonne.;Personne n'appelle.
L’enfant mange une pomme.;L’enfant a faim.
Il pleut dehors.;Le soleil brille.
Marie a acheté une voiture.;Marie n’a rien acheté.
Elle travaille dans une banque.;Elle est employée dans le secteur financier.
Le repas est servi.;Ils attendent encore leur plat.
Ils voyagent en train.;Ils prennent le train.
Paul joue au foot.;Paul pratique un sport.
Le ciel est bleu.;Le ciel est clair.
Il pleut dehors.;Le soleil brille.
Ils voyagent en train.;Ils prennent le train.
Le feu est rouge.;Les voitures s’arrêtent.
La neige tombe en hiver.;Il fait chaud en hiver.
Il pleut dehors.;Le soleil brille.
La voiture est rouge.;Le véhicule a une couleur vive.
Le chien aboie fort.;Le chien est silencieux.
Le chien aboie fort.;Le chien est silencieux.
L’enfant mange une pomme.;L’enfant a faim.
Marie a acheté une voiture.;Marie n’a rien acheté.
Le feu est rouge.;Les voitures s’arrêtent.
Ils voyagent en train.;Ils prennent le train.
Le feu est rouge.;Les voitures s’arrêtent.
Marie a acheté une voiture.;Marie n’a rien acheté.
La voiture est rouge.;Le véhicule a une couleur vive.
Le ciel est bleu.;Le ciel est clair.
Il pleut dehors.;Le soleil brille.
Le chien aboie fort.;Le chien est silencieux.
La neige tombe en hiver.;Il fait chaud en hiver.
Le téléphone sonne.;Personne n'appelle.
Le feu est rouge.;Les voitures s’arrêtent.
Le chien aboie fort.;Le chien est silencieux.
Le ciel est bleu.;Le ciel est clair.
Marie a acheté une voiture.;Marie n’a rien acheté.
L’étudiant révise pour l’examen.;L’étudiant ne se prépare pas.
Les oiseaux chantent le matin.;Le matin est silencieux.
Jean lit un livre.;Jean regarde un film.
L’enfant mange une pomme.;L’enfant a faim.
Il pleut dehors.;Le soleil brille.
Le ciel est bleu.;Le ciel est clair.
Le chat dort sur le canapé.;L’animal se repose sur le sofa.
Les oiseaux chantent le matin.;Le matin est silencieux.
La neige tombe en hiver.;Il fait chaud en hiver.
Elle travaille dans une banque.;Elle est employée dans le secteur financier.
Le téléphone sonne.;Personne n'appelle.
Le chat dort sur le canapé.;L’animal se repose sur le sofa.
Il pleut dehors.;Le soleil brille.
Le téléphone sonne.;Personne n'appelle.
Le repas est servi.;Ils attendent encore leur plat.
Marie a acheté une voiture.;Marie n’a rien acheté.
Jean lit un livre.;Jean regarde un film.
L’étudiant révise pour l’examen.;L’étudiant ne se prépare pas.
La neige tombe en hiver.;Il fait chaud en hiver.
Ils voyagent en train.;Ils prennent le train.
Le repas est servi.;Ils attendent encore leur plat.
Le chat dort sur le canapé.;L’animal se repose sur le sofa.
Le téléphone sonne.;Personne n'appelle.
Les fleurs sont fanées.;Les fleurs sont fraîches.
L’étudiant révise pour l’examen.;L’étudiant ne se prépare pas.
Le feu est rouge.;Les voitures s’arrêtent.
Les oiseaux chantent le matin.;Le matin est silencieux.
Les fleurs sont fanées.;Les fleurs sont fraîches.
Le ciel est bleu.;Le ciel est clair.
L’étudiant révise pour l’examen.;L’étudiant ne se prépare pas.
Le bébé dort paisiblement.;Le bébé pleure.
Le repas est servi.;Ils attendent encore leur plat.
Paul joue au foot.;Paul pratique un sport.
